x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1302.3337,4.147167,1343.7947,105.40639,0,0.43354505,,person
344.01196,491.64514,399.00522,633.3457,0,0.41172683,,person
44.414898,808.1254,146.34013,988.9908,0,0.38969308,,person
1693.5791,165.05241,1768.0298,307.0678,0,0.3830397,,person
170.89322,0.0,193.26933,36.94011,0,0.3703838,,person
368.98593,2.4690285,422.23593,124.70204,0,0.36682653,,person
984.98914,112.444115,1042.8585,252.94743,0,0.3477247,,person
388.1434,513.98364,458.07065,669.8854,0,0.31982544,,person
46.337173,809.21674,145.12234,990.703,14,0.2919572,,bird
452.41525,509.04346,515.17957,638.55457,0,0.28562546,,person
